Lead Date,Platform,Campaign,Ad Name,Aff_param,Count(distinct profile_id)
2025-01-01,Bing,Brand Search,Bing Brand Exact,AFF-3201,10
2025-01-01,YouTube,Testimonial Video,Customer Story Cutdown,AFF-6202,3
2025-01-01,YouTube,Explainer Video,Demo Reel 30s,AFF-6201,5
2025-01-01,X / Twitter,Thought Leadership,Analyst Thread Promo,AFF-7202,4
2025-01-01,X / Twitter,Event Push,Launch Countdown Clip,AFF-7201,1
2025-01-01,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,3
2025-01-01,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,20
2025-01-01,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,7
2025-01-01,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,7
2025-01-01,Google Display,Prospecting Display,In-Market Display A,AFF-2201,8
2025-01-01,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,13
2025-01-01,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,18
2025-01-01,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,9
2025-01-01,Google Search,Brand Search,Brand Core RSA,AFF-1201,19
2025-01-02,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,5
2025-01-02,YouTube,Testimonial Video,Customer Story Cutdown,AFF-6202,2
2025-01-02,YouTube,Explainer Video,Demo Reel 30s,AFF-6201,3
2025-01-02,X / Twitter,Thought Leadership,Analyst Thread Promo,AFF-7202,2
2025-01-02,X / Twitter,Event Push,Launch Countdown Clip,AFF-7201,6
2025-01-02,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,17
2025-01-02,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,6
2025-01-02,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,2
2025-01-02,Google Display,Prospecting Display,In-Market Display A,AFF-2201,3
2025-01-02,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,13
2025-01-02,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,11
2025-01-02,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,9
2025-01-02,Bing,Brand Search,Bing Brand Exact,AFF-3201,5
2025-01-02,Google Search,Brand Search,Brand Core RSA,AFF-1201,11
2025-01-03,YouTube,Testimonial Video,Customer Story Cutdown,AFF-6202,4
2025-01-03,YouTube,Explainer Video,Demo Reel 30s,AFF-6201,2
2025-01-03,X / Twitter,Event Push,Launch Countdown Clip,AFF-7201,3
2025-01-03,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,5
2025-01-03,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,2
2025-01-03,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,15
2025-01-03,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,3
2025-01-03,Google Display,Prospecting Display,In-Market Display A,AFF-2201,7
2025-01-03,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,14
2025-01-03,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,14
2025-01-03,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,3
2025-01-03,Bing,Brand Search,Bing Brand Exact,AFF-3201,5
2025-01-03,Google Search,Brand Search,Brand Core RSA,AFF-1201,17
2025-01-04,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,7
2025-01-04,YouTube,Testimonial Video,Customer Story Cutdown,AFF-6202,3
2025-01-04,YouTube,Explainer Video,Demo Reel 30s,AFF-6201,4
2025-01-04,X / Twitter,Thought Leadership,Analyst Thread Promo,AFF-7202,3
2025-01-04,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,2
2025-01-04,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,11
2025-01-04,X / Twitter,Event Push,Launch Countdown Clip,AFF-7201,1
2025-01-04,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,3
2025-01-04,Bing,Brand Search,Bing Brand Exact,AFF-3201,7
2025-01-04,Bing,Competitor Search,Conquest Phrase Match,AFF-3202,4
2025-01-04,Facebook,Prospecting Social,Lookalike Video v2,AFF-4202,21
2025-01-04,Google Search,Brand Search,Brand Core RSA,AFF-1201,14
2025-01-04,Facebook,Retargeting Social,Remarketing Carousel,AFF-4201,14
2025-01-04,Google Display,Prospecting Display,In-Market Display A,AFF-2201,6
2025-01-05,YouTube,Testimonial Video,Customer Story Cutdown,AFF-6202,3
2025-01-05,YouTube,Explainer Video,Demo Reel 30s,AFF-6201,2
2025-01-05,X / Twitter,Thought Leadership,Analyst Thread Promo,AFF-7202,1
2025-01-05,X / Twitter,Event Push,Launch Countdown Clip,AFF-7201,1
2025-01-05,LinkedIn,ABM Outreach,Enterprise ABM Lead Gen,AFF-5202,3
2025-01-05,Google Search,Nonbrand Search,High Intent Terms,AFF-1202,23
2025-01-05,LinkedIn,B2B Decision Makers,Director Persona Static,AFF-5201,1
2025-01-05,Google Display,Retargeting Display,Retargeting Banner 6,AFF-2202,5
2025-01-05,Google Display,Prospecting Display,In-Market Display A,AFF-2201,10
